"platform","name","rate_per_1k","cost_per_1k","min_qty","max_qty","provider","id"
"discord","Discord Server Members [Username] [Start: 0 - 4 Hours] [Speed: 5K/Day]","7.883","5.6307","50","20000","wizsmm","615ab663-2d78-43bc-88d9-fee8b47b40d3"
"discord","Discord Members [Real] [World Wide] [1K/D] [0-1/H] [No Bot Required]","18.312","13.08","1","15000","wizsmm","2d3f4c14-7500-49df-8d33-dccd6c74b289"
"discord","Discord Members + Complete / Follow All Actions in Server [Real] [World Wide] [1K/D] [0-1/H] [No Bot Required]","55.86","39.9","1","15000","wizsmm","0a2fb63c-5f62-408d-be1b-6533875c340f"
"discord","Discord Messages [40 Daily Messages] [1 Week] [280+ Messages in Total] [Start Time: 0-24 Hours]","105","75","1","1","wizsmm","447560dc-469d-47be-8603-18d1d55abbc1"
"discord","Discord Messages [80 Daily Messages] [1 Week] [560+ Messages in Total] [Start Time: 0-24 Hours]","183.75","131.25","1","1","wizsmm","e01fcf61-ac10-41b0-a0aa-2a26cf648cd2"
"discord","Discord Messages [120 Daily Messages] [1 Week] [840+ Messages in Total] [Start Time: 0-24 Hours]","269.5","192.5","1","1","wizsmm","d14ca271-9d10-4656-ba4a-ffbb17acbe2b"
"discord","Discord Messages [240 Daily Messages] [1 Week] [1680+ Messages in Total] [Start Time: 0-24 Hours]","420","300","1","1","wizsmm","47e53fb7-c6fe-463b-8e0c-ed296dbb7cf9"
"discord","40 Daily Messages for 1 Month [1200+ Messages in Total]","525","375","1","1","wizsmm","f5b3a4f9-dc2d-442c-ba09-8f818b8f069a"
"discord","80 Daily Messages for 1 Month [2400+ Messages in Total]","945","675","1","1","wizsmm","f8672d99-eb9e-4311-8a4b-e59271c2f743"
"discord","120 Daily Messages for 1 Month [3600+ Messages in Total]","1386","990","1","1","wizsmm","ddfa38ca-5b62-4404-810d-755694a44b3f"
"discord","240 Daily Messages for 1 Month [7200+ Messages in Total]","2205","1575","1","1","wizsmm","ee289642-6b3e-461b-8ca6-d35477fd119e"
