"platform","name","rate_per_1k","cost_per_1k","min_qty","max_qty","provider","id"
"facebook","Facebook Post Likes [🇹🇭Thailand🇹🇭] [Refill: No] [Start Time: 1 - 12 Hour] [Speed:100/Day] [UPDATED 15.10.2025]","1.344","0.96","100","50000","wizsmm","086e0480-f48b-400f-86c0-122646065170"
"facebook","🇦🇪 Facebook - 𝐂𝐨𝐦𝐦𝐞𝐧𝐭 𝐋𝐢𝐤𝐞 (👍👍👍) - United Arab Emirates - Non Drop - 200-300/Day | 30 Days Refill","11.004","7.86","50","10000","wizsmm","0a7ea02d-2877-48c5-9485-e9839c4ad36e"
"facebook","Facebook Live Stream Views - S2 [ 150 Minutes ]","14.112","10.08","50","1998","wizsmm","00249109-3e73-44e6-8b5a-631ba8fbbd8d"
"facebook","♛ Facebook Post Likes - [ Max - 100K ] [ Good Quality ] [ 5k-10k/day ] [ 30 Days Refill ] INSTANT","2.464","1.76","10","100000","wizsmm","012b0ec2-6802-43e0-808e-7e0c8421f118"
"facebook","🇲🇾 Facebook - Post React 𝐒𝐚𝐝 (😢)	 - Malaysia - Non Drop - 200-300/Day | 30 Days Refill","9.632","6.88","50","10000","wizsmm","012bd535-eaee-48c4-9e34-572a3afe47e8"
"facebook","♛ Facebook followers - [ Max - 1M ] [ 5k-10k/Day ] [ 30 Days Refill ] 1-6 HRS","1.33","0.95","10","1000000","wizsmm","017ec419-d47b-4392-8680-d2d5a3fb4a32"
"facebook","Sweden Traffic from Facebook","0.77","0.55","1000","1000000","wizsmm","01d17d34-89b5-439e-8651-0c2b7261a1e0"
"facebook","🇨🇦 Facebook - Post React 𝐋𝐨𝐯𝐞 (❤️) - Canada - Non Drop - 200-300/Day | 30 Days Refill","8.134","5.81","50","10000","wizsmm","02537eee-3b7a-4fde-966c-3aa30a9ae47a"
"facebook","Facebook Shares [🇵🇭Philippines🇵🇭] [30 Days Refill] [150/D] [0-12/H]","3.864","2.76","10","300","wizsmm","02aa08c4-65c7-4282-9fc3-6efd2e373d6d"
"facebook","Facebook Followers [ 🚀25K ] [ Instant Start ] [ Cancel Button ] [ ♻️60D ]","0.84","0.6","10","100000","wizsmm","03827809-21a4-4510-bc53-08a693a80e54"
"facebook","🇨🇦 Facebook 𝐆𝐫𝐨𝐮𝐩 𝐌𝐞𝐦𝐛𝐞𝐫𝐬 - Canada - Non Drop - 200-500/Day | 30 Days Refill","12.208","8.72","50","10000","wizsmm","04bef966-cf00-455f-b348-bc6271c48f85"
"facebook","Facebook Video / Reels Views [ 500k+/day ] 0-1 HRS","0.112","0.08","100","10000000","wizsmm","04c724d4-adc6-484b-9dcd-513f2ad24d99"
"facebook","🇨🇦 Facebook - 𝗣𝗼𝘀𝘁 (𝐑𝐚𝐧𝐝𝐨𝐦 𝗖𝗼𝗺𝗺𝗲𝗻𝘁𝘀) - 𝐅𝐞𝐦𝐚𝐥𝐞 𝐏𝐫𝐨𝐟𝐢𝐥𝐞 💁‍ - Canada - Non Drop - 100-200/Day | 30 Days Refill","20.342","14.53","5","1000","wizsmm","0502f047-45ae-477c-a824-3ebf67d99b56"
"facebook","🇧🇷 Facebook - Post React 𝐇𝐚𝐇𝐚 (😆) - Brazil - Non Drop - 200-300/Day | 30 Days Refill","10.85","7.75","50","10000","wizsmm","06494e11-cd22-4dc5-a1ee-c0c5d2bef1ce"
"facebook","🇫🇷 Facebook - 𝐏𝐨𝐬𝐭/𝐕𝐢𝐝𝐞𝐨 𝐒𝐡𝐚𝐫𝐞 (𝐀𝐥𝐥 𝐋𝐢𝐧𝐤𝐬) France - Non Drop - 200-300/Day | 30 Days Refill","18.984","13.56","20","10000","wizsmm","07adff9b-d0b8-4b9c-aafa-4257ddad585b"
"facebook","Facebook Profile Followers [🇵🇭Philippines🇵🇭] [30 Days Refill] [50-150/D] [0-12/H]","3.864","2.76","10","500","wizsmm","07c784c8-e8aa-430f-ba54-6b8ead2b05f9"
"facebook","Facebook Costum Comments [🇵🇭Philippines🇵🇭] [500-1K/D] [0-24/H]","50.988","36.42","10","1000","wizsmm","0940cd62-149c-4d5f-8b73-019fcfa61de2"
