"platform","name","rate_per_1k","cost_per_1k","min_qty","max_qty","provider","id"
"instagram","Instagram Germany Male Story Views + Likes [ All Stories ] [ Real ]","13.888","9.92","30","100","wizsmm","0053fdfc-7408-4283-b108-6cbe9887f9d0"
"instagram","🇹🇷 Instagram Turkish Female Likes | 30 Days Refill  | %100 Turkish Users 🇹🇷 | 10K Per Hour","2.142","1.53","20","150000","wizsmm","01426dc3-a392-4ac2-b7e9-2a228e32153f"
"instagram","🇩🇪 Instagram Germany Custom Comments – [ Non-Drop ] [ Authentic Service ] [ Female ] NO REFILL","193.62","138.3","5","500","wizsmm","01cec774-a6cd-48c5-aea3-0be69280566a"
"instagram","🇩🇪 Instagram Germany Custom Comments – [ Non-Drop ] [ Authentic Service ] [ Mixed ] NO REFILL","193.62","138.3","5","1000","wizsmm","02243898-88ec-4674-b9e0-78ef51ff9ba1"
"instagram","Instagram France Costum Comments [High Quality] [30 Days Refill] [200] [0-8/H]","27.72","19.8","5","100000","wizsmm","0275ce35-2ea3-40bd-9e67-34551376f010"
"instagram","Instagram Emoji Comments [ Max 10K ] [ Daily 10K ] [ Instant Start ] [ Cancel Button ] [ ⚠️No Refill ]","0.84","0.6","10","10000","wizsmm","03b82299-0ad5-4434-b56d-779db5c9cf6f"
"instagram","Instagram Story Views + Reach and Impressions [ ALL ]","0.238","0.17","10","5000","wizsmm","06232077-6aaf-4606-896d-f27680cd60c4"
"instagram","Instagram Korea Custom Comments [ High Quality ]","135.24","96.6","1","2000","wizsmm","0944bc0a-bbc6-4d25-a4ed-539f20b84a3f"
"instagram","Instagram Reels Views [Italy]","6.048","4.32","10","3000","wizsmm","094b3a7a-e16a-47f5-9791-046a89d32ab4"
"instagram","🇺🇸 Instagram USA Comments – [ Emoji ] INSTANT","16.8","12","1","1000","wizsmm","0979c3b5-1a7e-46ca-9154-cb6a98c47043"
"instagram","Instagram Iranian Comments","50.4","36","5","500","wizsmm","2c2011e8-500f-4353-8e18-0ba24a94ec19"
"instagram","Instagram Story Share into Stories [Italy]","14.112","10.08","10","3000","wizsmm","0ab24a99-e289-48e8-a0a0-f338d18480c0"
