"platform","name","rate_per_1k","cost_per_1k","min_qty","max_qty","provider","id"
"spotify","Spotify USA Plays - [ 5k/day ] [ Non Drop ]","0.56","0.4","1000","100000000","wizsmm","9e7075ff-6422-4fa5-88e1-ed71cf54a319"
"spotify","Spotify Plays - [ 5-10k/day ] [ Non Drop ] [ WorldWide ]","0.28","0.2","500","10000000","wizsmm","c7037b6d-4614-478e-8de3-17189badb13a"
"spotify","Spotify USA Plays - [ 1k/day ] [ Non Drop ]","0.63","0.45","1000","100000000","wizsmm","ef3e7119-67af-4469-afb8-99d76edf12b9"
"spotify","🇸🇪Spotify SWEDEN Plays [12H - 3K/Day]","0.588","0.42","500","1000000","wizsmm","29f83d14-9c25-41c3-804a-b37678a36cd7"
"spotify","🇸🇪Spotify SWEDEN Followers [12H - 15K/Day]","3.675","2.625","500","1000000","wizsmm","3040291b-0d8d-45d2-ac2e-4c8dcd19f71c"
"spotify","Spotify Premium Plays [🇵🇹 PT] [iOS / iPhone &amp; iPad] [Refill: Lifetime] [Start Time:INSTANT] [Speed: Up to 5k/Day]","1.2495","0.8925","1000","100000000","wizsmm","31349c42-37cf-4e51-ac05-8d121f8e577c"
"spotify","🇸🇪Spotify SWEDEN Saves [For Track] [12H - 15K/Day]","1.029","0.735","100","1000000","wizsmm","393b00bd-7bd4-4643-9b6f-c68cf1d18820"
"spotify","Spotify Premium USA Plays [ANDROID] [Refill: Lifetime] [Start Time:INSTANT] [Speed: Up to 3k/Day]","1.617","1.155","1000","1000000000","wizsmm","40e1e5b0-ed3a-419b-9085-546ebd91ab26"
"spotify","🇨🇭Spotify SWITZERLAND  Playlist Plays [12H - 3K/Day]","0.588","0.42","500","1000000","wizsmm","66b1a9a7-1b3c-4531-a530-94562a83f1ca"
"spotify","🇧🇪Spotify BELGIUM Followers [12H - 15K/Day]","0.8526","0.609","500","1000000","wizsmm","8a5d9dcd-a318-42de-b345-a32083f23185"
"spotify","Spotify Premium Plays [🇫🇷 FR] [iOS / iPhone &amp; iPad] [Refill: Lifetime] [Start Time:INSTANT] [Speed: Up to 3k/Day]","1.911","1.365","1000","100000000","wizsmm","8aa67bd9-7501-4c08-af36-c4e40fc5438e"
"spotify","Spotify Plays","0.5","0.3","1000","10000000","wizsmm","487c6bda-69a3-417d-b6dd-1387aaf30f66"
"spotify","Spotify Followers","2","1.5","100","50000","wizsmm","af629c27-a4eb-48ea-b2c6-1da30a69dcbd"
"spotify","Spotify Premium Plays [🇳🇱 NL] [iOS / iPhone &amp; iPad] [Refill: Lifetime] [Start Time:INSTANT] [Speed: Up to 3k/Day]","1.911","1.365","1000","100000000","wizsmm","0017091d-1a23-4198-932e-eb02a6cf94ad"
"spotify","Spotify Monthly Listeners [ No Refill ] [USA 🇺🇸] [Start Time: 1 - 12 Hrs][Speed: Up to 10K/D] 💧","2.4325","1.7375","1000","20000","wizsmm","00e63ff3-d58f-4e7b-99b0-dcceab4de14a"
"spotify","🇦🇺Spotify AUSTRALIA Followers [12H - 15K/Day]","0.8526","0.609","20","100000000","wizsmm","11991135-6934-4962-9fad-55adff626984"
"spotify","🇺🇸 Spotify USA Followers [Refill: Lifetime] [Start Time: 0-12 Hours] [Speed: 10K/Day]","0.8562","0.6116","20","100000","wizsmm","15cb28f7-ef01-4adc-bf9f-74885807241e"
"spotify","Spotify Premium USA Plays [Consoles] [Refill: Lifetime] [Start Time:INSTANT] [Speed: Up to 3k/Day]","1.617","1.155","1000","1000000000","wizsmm","163f1951-be1e-4400-a41c-be675bc9e311"
"spotify","🇦🇺Spotify AUSTRALIA Plays [12H - 3K/Day]","0.588","0.42","500","1000000","wizsmm","137fa0d5-1b35-49e6-8429-d7017f4dd98a"
"spotify","Spotify Real Playlist Plays - [ 5k-10k/day ] [ High Quality ]","0.126","0.09","500","20000000","wizsmm","a687c9ff-17e3-49b2-a9bc-71d8633ffa42"
"spotify","🇧🇪Spotify BELGIUM Saves [For Track] [12H - 15K/Day]","1.029","0.735","100","1000000","wizsmm","3ff72b63-2d9e-4e37-ad02-b99c29f8a0ec"
"spotify","🇦🇺Spotify AUSTRALIA Playlist Plays  [12H - 3K/Day]","1.3083","0.9345","500","10000000","wizsmm","2ad23e64-ef4f-4481-9884-8326b42b0789"
"spotify","Spotify Premium USA Plays [iOS / iPhone &amp; iPad] [Refill: Lifetime] [Start Time:INSTANT] [Speed: Up to 3k/Day]","1.5435","1.1025","1000","1000000000","wizsmm","529a811c-df77-497b-bc4c-0b78efb204ea"
"spotify","🇺🇸Spotify USA Plays + WW [Lifetime Guaranteed] [Min: 50M] [Start Time: 0-7 Days] [Speed: 2M/Day] ⭐⭐⭐⭐ ♻️","2.1168","1.512","1000000","350000000","wizsmm","52aeed0a-613f-4e7d-bc58-bee5059cd0fa"
"spotify","Spotify Premium USA Plays [MacOS] [Refill: Lifetime] [Start Time:INSTANT] [Speed: Up to 3k/Day]","1.617","1.155","1000","1000000000","wizsmm","56cc7fc9-2469-4cb6-b657-8d0e437d842d"
"spotify","Spotify Premium USA Plays [Windows] [Refill: Lifetime] [Start Time:INSTANT] [Speed: Up to 3k/Day]","1.617","1.155","1000","1000000000","wizsmm","63074076-41dd-4093-88be-3998da60a5ca"
"spotify","🇸🇪Spotify SWEDEN Playlist Plays [12H - 3K/Day]","0.588","0.42","500","1000000","wizsmm","759f8c5c-0ea0-44c2-90c1-63ecb421d214"
"spotify","Spotify Likes [Real] [World Wide] [1K/D] [0-1/H]","9.996","7.14","1","15000","wizsmm","ace1434c-53d1-4368-9def-936ed8aabc0e"
"spotify","Spotify Plays [Retention 40+ Seconds] [Real] [World Wide] [1K/D] [0-1/H]","12.096","8.64","1","15000","wizsmm","fae9c288-4998-4b38-b063-f9fa85705634"
"spotify","Spotify Followers [Real] [World Wide] [1K/D] [0-1/H]","18.396","13.14","1","15000","wizsmm","d38c4cde-cf5d-4c43-8441-402eb961c80e"
"spotify","Spotify USA Editorial Plays [ROYALTY ELIGIBLE] [Refill: Lifetime] [Start Time:INSTANT] [Speed: Up to 3k/Day]","1.071","0.765","500","1000000000","wizsmm","8e8b3d62-9f58-4b4f-a203-799212af0ef4"
"spotify","Spotify Premium USA Plays [Apple TV &amp; CarPlay] [Refill: Lifetime] [Start Time:INSTANT] [Speed: Up to 3k/Day]","1.617","1.155","1000","1000000000","wizsmm","9a8ac085-018c-4080-80e8-52e5c4ea80f0"
"spotify","🇦🇺Spotify AUSTRALIA Saves [For Track] [12H - 15K/Day]","1.2936","0.924","100","1000000","wizsmm","9f3deedd-ccc1-4f66-af72-07d3f81613a5"
"spotify","🇺🇸Spotify Premium Saves [USA] [Lifetime Guaranteed] [Start Time: 12-24 Hours] [Speed: 200-1K/Day] ⭐ ♻️","35","25","500","1000000","wizsmm","d3b9ae20-eefd-4f37-8675-c22be14bd2d6"
"spotify","Spotify Promotion [For Playlist - Artist - User] [1 DAY] [HQ] [ADS] [Refill: No Drop] [Start Time:1-48 Hours]","70","50","1","1","wizsmm","0321a10e-7d20-4188-8ba8-cccb6df79d13"
"spotify","Spotify Promotion [For Playlist - Artist - User] [7 DAYS] [HQ] [ADS] [Refill: No Drop] [Start Time:1-48 Hours]","465.5","332.5","1","1","wizsmm","ecfbe17c-365e-45f3-a253-ee19f18a5cb7"
"spotify","Spotify Promotion [For Playlist - Artist - User] [14 DAYS] [HQ] [ADS] [Refill: No Drop] [Start Time:1-48 Hours]","882","630","1","1","wizsmm","e2edd5c0-e244-4241-ac30-6421ff981e3a"
"spotify","Spotify Promotion [For Playlist - Artist - User] [30 DAYS] [HQ] [ADS] [Refill: No Drop] [Start Time:1-48 Hours]","1785","1275","1","1","wizsmm","b0569c65-9912-4aa0-a563-b197f22daf21"
"spotify","Spotify Monthly Listeners [TURKEY 🇹🇷] [Refill: NO] [Start Time: 1 - 12 Hrs][Speed: Up to 10K/D] 💧","2.4325","1.7375","1000","20000","wizsmm","c2dcf7ab-6844-4560-9f41-f9c1b66ca8ee"
"spotify","Spotify USA Algorithm Plays [ROYALTY ELIGIBLE] [Refill: Lifetime] [Start Time:INSTANT] [Speed: Up to 3k/Day]","0.8505","0.6075","500","1000000000","wizsmm","dd7a4a89-2848-43b8-8dc6-2ba26236c9c0"
"spotify","Spotify USA Plays [ROYALTY ELIGIBLE] [Refill: Lifetime] [Start Time:INSTANT] [Speed: Up to 3k/Day]","0.441","0.315","500","1000000000","wizsmm","e4e3200e-64f3-480d-a71c-9ee18b5cd902"
"spotify","🇧🇪Spotify BELGIUM Playlist Plays [12H - 3K/Day]","0.588","0.42","500","10000000","wizsmm","e534bd5f-473e-47cb-a11f-ffe97716470c"
"spotify","Spotify Premium Plays [🇩🇪 DE] [iOS / iPhone &amp; iPad] [Refill: Lifetime] [Start Time:INSTANT] [Speed: Up to 3k/Day]","1.911","1.365","1000","100000000","wizsmm","e7cfa9ae-509d-4416-8b81-07fce9ad23ff"
"spotify","🇧🇪Spotify BELGIUM Plays [12H - 3K/Day]","0.588","0.42","500","10000000","wizsmm","f5447a0e-8301-4bef-967b-2e2c25d0a84f"
