"platform","name","rate_per_1k","cost_per_1k","min_qty","max_qty","provider","id"
"telegram","Telegram Auto Post View [Last 50 Posts] [MONTHLY PACKAGE]","25.2","18","100","300000","jap","498f3b07-9acf-4771-86e1-6072db9afcbe"
"telegram","Telegram Channel Members","1","0.6","100","500000","jap","abddb6fc-0ad9-42aa-8266-bdcde4f87761"
"telegram","Telegram Post Views","0.05","0.01","1000","100000000","jap","f865968d-030f-4c95-a338-5051d9f90cb4"
"telegram","All-in-one Telegram","65.52","46.8","50","5000","smmwiz","80ee679d-16a9-447f-8892-f0f5ace1400f"
"telegram","Telegram Auto Views [Refill: No] [Start Time: 0 - 1 Hour] [Speed: 500K/Day]","0.0319","0.0228","10","400000","jap","3324e99b-80ab-467c-aa2a-68d84f6277b2"
"telegram","Telegram Views [1 Post] [Refill: No] [Start Time: 0 - 1 Hour] [Speed: 100K/Day]","0.035","0.025","100","10000000","jap","4290c7b1-d081-40e0-9d75-6402236f1dce"
"telegram","Telegram Auto Post View [Last 5 Posts] [MONTHLY PACKAGE]","2.52","1.8","100","300000","jap","45642fff-8d43-4339-b8af-c714a8bd9851"
"telegram","5531 - Auto 3604","0.014","0.01","100","500000","smmwiz","c4d67107-f2fc-487d-8ed0-0ce0a370443d"
"telegram","Auto 2416","0.014","0.01","100","5000000","smmwiz","0346e41b-28a5-43f7-b75a-14208967cbee"
"telegram","Telegram Views [1 Post] [Refill: No] [Start Time: 0 - 1 Hour] [Speed: 100K/Day]","0.0041","0.0029","10","399999","jap","790e2368-bc4c-4e8e-8e0e-459610de8589"
"telegram","Telegram Auto Post View [Last 20 Posts] [MONTHLY PACKAGE]","10.08","7.2","100","300000","jap","966cd922-87ff-4c9d-9a95-c16c4978660a"
"telegram","Telegram Auto Post View [Last 10 Posts] [MONTHLY PACKAGE]","5.04","3.6","100","300000","jap","b3f217f7-69d2-46ab-8e2a-8f4364d113c6"
"telegram","Telegram Auto Post View [Last 100 Posts] [MONTHLY PACKAGE]","50.4","36","100","300000","jap","bf40c64a-39c1-4a96-b5f8-ca7f4a61c5e8"
"telegram","Telegram Members [CHINA] [Refill: 365Days] [Channel-Group] [Start Time: 0-1 Hour] [Speed:30K/Day]","1.68","1.2","500","200000","jap","fe5c3f76-9db6-41ea-9dbe-00ab01f57cd0"
