"platform","name","rate_per_1k","cost_per_1k","min_qty","max_qty","provider","id"
"twitter","🇨🇦 Binance Square - Canada Post Views [Redirected from Twitter/X]","2.212","1.58","1000","490000","wizsmm","02a00b39-f091-415c-aa14-bc0fae8e977f"
"twitter","X - Twitter Nigeria Retweets [5K]🇳🇬","34.818","24.87","50","5000","wizsmm","04c5bd06-90e2-45e1-b0c3-4839a61471f4"
"twitter","🇯🇵Twitter Comments [CUSTOM] [JAPAN] [Refill: No] [Max: 100] [Start Time: 0-12 Hours] [Speed: 100/Day]","70","50","10","250","wizsmm","0797dcfa-09f2-41f2-86bb-5424d82ddb92"
"twitter","Twitter Likes [Refill: No] [Max: 50K] [Start Time: 0-2 Hrs] [Speed: Up to 20K/D] 💧","5.25","3.75","10","10000","wizsmm","0de5d2c5-b498-4c39-bf81-96cb42980669"
"twitter","Twitter Tweets (0-2 Hr)","19.656","14.04","10","1000","wizsmm","0e22e70d-174f-46f1-b8dc-c8508923dafe"
"twitter","Twitter Retweets (Real always working)","36.96","26.4","10","500","wizsmm","0f086559-c537-4261-82d3-0e6e584369b3"
"twitter","Twitter Retweets [Super High Speed] [Big Base] [No Refill] [100K/D] [Instant]","3.024","2.16","100","1000000","wizsmm","13c0909d-476c-4e39-ad73-65c559569076"
"twitter","Twitter Followers [High Speed] [30 Days Refill] [100K/D] [Instant]","20.16","14.4","100","1000000","wizsmm","17249709-7fb7-490e-b854-f66fc86e955a"
"twitter","Twitter Real NFT Bookmarks [2K/D] [0-1/H]","4.746","3.39","10","10000","wizsmm","18923e74-1bd7-4c30-9a04-cf1c65600c57"
"twitter","Worldwide Traffic from Twitter [LQ]","0.238","0.17","88","88888888","wizsmm","19963efd-206b-49f7-8e9f-1d8b58ebb1ed"
"twitter","Twitter Retweets [Refill: No] [Max: 15K] [Start Time: 0 - 1 Hr] [Speed: 15K/Day] 💧","0.175","0.125","10","1000000","wizsmm","1ab4af23-f8f3-4ddf-98e5-a336aea8d615"
"twitter","Twitter Retweets (Real always working)","38.5","27.5","10","500","wizsmm","1f25661a-2f47-4aed-a977-6714dff89a9c"
"twitter","Twitter Video Views","0.0336","0.024","100","2147483647","wizsmm","238f55bc-baca-4c24-8596-8c23843408ee"
"twitter","🇺🇸Twitter Tweets [USA] [Refill: No] [Max: 200] [Start Time: 0-12 Hours] [Speed: 100/Day]","105","75","20","200","wizsmm","24a72b71-7854-4afe-9928-43af0d09060a"
"twitter","Twitter Followers [ Japanese 🇯🇵 ] | HQ  | No Drop | 30 Days Auto Refill ♻️","70.56","50.4","10","10000","wizsmm","289223eb-75d9-4942-90ab-b077ff49d28a"
"twitter","Singapore Traffic from Twitter","0.56","0.4","500","1000000","wizsmm","29e744fd-ecee-4ef7-bf05-5dd3e5ff7004"
"twitter","🌎 Binance Square - Worldwide Post Views [Redirected from Twitter/X]","1.722","1.23","1000","3000000","wizsmm","2adc0394-47b8-4d3c-87cc-63cd3418f111"
"twitter","Twitter Brazil Views","0.028","0.02","100","100000000","wizsmm","2ae19733-1997-4501-bc7a-25ab33b02b4b"
"twitter","Twitter Likes HQ","13.44","9.6","10","10000","wizsmm","2b3157b6-c869-4610-8127-d7fa04209b9b"
"twitter","South Africa Traffic from Twitter","0.56","0.4","500","1000000","wizsmm","35262450-fea7-448d-951b-4b77882238d3"
"twitter","Japan Traffic from Twitter [LQ]","0.238","0.17","88","88888888","wizsmm","35ad026c-298f-4720-8cd1-cdbdf14a46dd"
"twitter","Spain Traffic from Twitter [LQ]","0.238","0.17","88","88888888","wizsmm","370db611-46f2-46a4-95ae-c16d0c277f4b"
"twitter","Twitter Tweet/Video Views + Impressions + Engagements + Details + Profile Visits [Lifetime Guaranteed]","0.014","0.01","100","100000000","wizsmm","3b8e4161-74c2-40a0-9f07-1774efc1a771"
"twitter","Portugal Traffic from Twitter","0.56","0.4","500","1000000","wizsmm","3f70b4bc-89ba-406c-b214-9330d9a44870"
"twitter","Twitter Likes [Refill: No] [Max: 10K] [Start Time: 0-1 Hrs] [Speed: Up to 10K/D] 💧","1.89","1.35","10","10000","wizsmm","451b9501-c782-46ce-abcf-187f81477387"
"twitter","Х - Twitter Likes","15.12","10.8","20","5000","wizsmm","4bdcfc51-e4b9-4c8b-b850-253e743d870e"
